"Name","Season","GamesPlayed","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"IND","2014-15",82,7675,7981,2386,5084,0.46931549960660895,612,1740,0.35172413793103446,0.35560720511330624,1373,2464,2308,1575,261,0.5163453478625314,0.5623003194888179,0.8578431372549019,0.25498241500586166,0.48970738970588235,0.48417350527549824,0.5212891392637233,390,374,0.07356412273800157,12,0.006896551724137931
"PHI","2014-15",82,7861,7542,2073,4617,0.4489928525016244,692,2160,0.32037037037037036,0.3235156615240767,1320,2156,1990,1815,261,0.5200192957067052,0.5839653304442037,0.8742774566473989,0.3187250996015936,0.5187642359567215,0.45905267817618417,0.4919576304433111,454,441,0.09551656920077972,13,0.0060185185185185185
"PHX","2014-15",82,7967,8397,2480,4990,0.4969939879759519,698,2048,0.3408203125,0.345049504950495,1343,2198,2762,1680,414,0.44314516129032255,0.4794938917975567,0.8022922636103151,0.29099175902244956,0.5198698630136986,0.5011366865586815,0.5359523199179698,376,323,0.06472945891783567,14,0.0068359375
"POR","2014-15",82,7781,8429,2368,4818,0.49149024491490245,807,2231,0.3617212012550426,0.36466335291459556,1272,2346,2390,1878,543,0.4953547297297297,0.5455813953488372,0.7757125154894672,0.3164987941551993,0.5060161278837938,0.507660661086679,0.543008666407968,436,278,0.057700290577002905,19,0.008516360376512775
"SAC","2014-15",82,7864,8310,2549,5267,0.4839567116005316,461,1350,0.3414814814814815,0.3460960960960961,1829,2562,2536,1158,225,0.5025500196155355,0.5507308684436801,0.8373101952277657,0.20401994861719813,0.4978547019566206,0.4897234396252078,0.5368926994024422,446,505,0.09588000759445604,3,0.0022222222222222222
"DEN","2013-14",82,8059,8559,2445,5083,0.48101514853433014,702,1959,0.35834609494640124,0.3624612202688728,1563,2532,2358,1716,390,0.5177914110429448,0.5629168519341929,0.8148148148148148,0.27818801476853167,0.5103404262902766,0.4967338824197671,0.5328667833041739,392,441,0.08675978752705095,18,0.009188361408882083
"MIL","2013-14",82,7610,7829,2404,5184,0.4637345679012346,548,1553,0.3528654217643271,0.35515230071289694,1377,2630,2178,1335,309,0.5470049916805324,0.6010054844606947,0.8120437956204379,0.23051803473356094,0.5086208246501935,0.4788481519964376,0.5147796252309317,432,399,0.07696759259259259,14,0.00901481004507405
"PHI","2013-14",82,8173,8155,2531,5303,0.47727701301150294,577,1847,0.3123984840281538,0.3143483023001095,1362,2566,2496,1524,207,0.5069142631371,0.562966213251426,0.8804159445407279,0.2583216783216783,0.5232451538137379,0.47503496503496506,0.508317698561601,504,549,0.10352630586460494,9,0.004872766648619383
"PHX","2013-14",82,7888,8629,2407,4790,0.5025052192066806,765,2055,0.3722627737226277,0.3755522827687776,1520,1866,2948,1890,405,0.387619443290403,0.42140921409214094,0.8235294117647058,0.3002191380569759,0.5198912609970674,0.5192841490138788,0.5556706369756603,386,323,0.0674321503131524,9,0.004379562043795621
"POR","2013-14",82,7850,8753,2437,5063,0.4813351767726644,770,2071,0.3718010622887494,0.3746958637469586,1569,2550,2324,1887,423,0.5231842429216249,0.5806010928961749,0.8168831168831169,0.2902999719652369,0.5078267505624297,0.5035043453882815,0.545858914922942,482,288,0.05688327078807032,16,0.00772573635924674
"TOR","2013-14",82,7628,8305,2279,4801,0.474692772339096,713,1917,0.37193531559728743,0.3740136770120989,1608,2284,2274,1785,354,0.5010969723562966,0.5464114832535886,0.8345021037868162,0.28535278356653765,0.48487894068429704,0.4984370348317952,0.5419071353620147,378,338,0.07040199958342012,14,0.007303077725612937
"CLE","2018-19",82,7915,8567,2342,4796,0.4883236030025021,847,2388,0.3546901172529313,0.3561816652649285,1342,2038,2646,2037,504,0.43509820666097354,0.4838556505223172,0.8016528925619835,0.33240534521158127,0.5076530700530282,0.5028535634743875,0.5379179810725552,472,440,0.09174311926605505,19,0.007956448911222781
"ATL","2018-19",82,8547,9294,2325,4490,0.5178173719376392,1067,3034,0.35168094924192483,0.35424966799468793,1443,2478,2172,2637,564,0.5329032258064517,0.5894386298763082,0.823805060918463,0.40324295587453485,0.5387300346990525,0.5217304625199362,0.5546706586826348,446,429,0.0955456570155902,19,0.006262359920896506
"PHX","2018-19",82,8283,8815,2499,4764,0.52455919395466,790,2400,0.32916666666666666,0.3310952580780529,1447,2638,2360,1914,456,0.52781112444978,0.5739773716275022,0.8075949367088607,0.33500837520938026,0.5205181028443323,0.5142378559463987,0.5519929586319627,402,388,0.08144416456759027,23,0.009583333333333333
"DET","2018-19",82,7999,8778,2192,4384,0.5,993,2854,0.3479327259985985,0.3517534537725824,1415,2040,2344,2475,504,0.4653284671532847,0.5193482688391039,0.8308157099697885,0.39430781983973473,0.5067015551235767,0.5086349820392374,0.5420862862116126,456,392,0.08941605839416059,27,0.0094604064470918
"LAL","2012-13",82,7738,8381,2326,4625,0.5029189189189189,715,2015,0.3548387096774194,0.3583959899749373,1584,2408,2244,1842,303,0.5176268271711092,0.5695364238410596,0.8587412587412587,0.30346385542168675,0.5105341376701967,0.5118222891566265,0.5434073107049608,424,382,0.08259459459459459,14,0.006947890818858561
"BOS","2012-13",81,7574,7818,2503,5069,0.4937857565594792,498,1390,0.35827338129496406,0.3641025641025641,1318,2776,2230,1365,129,0.5545345585297643,0.5883849088596863,0.9136546184738956,0.21520359188728905,0.5074238917405506,0.5031738659235175,0.5393203883495146,288,369,0.07279542316038666,9,0.006474820143884892
"HOU","2012-13",82,7925,8688,2257,4413,0.5114434624971674,867,2369,0.3659772055719713,0.3669919389053882,1573,2346,2168,2187,414,0.5197164377492246,0.5677637947725073,0.8408304498269896,0.3493069890887644,0.5408238947212776,0.5245502801533471,0.5620779220779221,382,477,0.10808973487423522,21,0.008864499788940482
"MIA","2012-13",82,7481,8436,2431,4539,0.5355805243445693,717,1809,0.3963515754560531,0.3989983305509182,1423,2538,2324,1863,288,0.5220074043603455,0.5505422993492408,0.8661087866108786,0.28497164461247637,0.5228692666350562,0.5523787019533711,0.5841004184100418,252,253,0.05573914959242124,9,0.004975124378109453
"MIL","2012-13",82,7826,8108,2527,5527,0.45721005970689343,601,1670,0.3598802395209581,0.36319612590799033,1251,2770,2284,1473,330,0.5480807281361298,0.6131031429836211,0.8169717138103162,0.23204112824788106,0.5214031777003484,0.476379046825066,0.507790902236743,536,352,0.06368735299439117,10,0.005988023952095809
"MIN","2012-13",82,7634,7851,2493,5227,0.4769466233020853,450,1475,0.3050847457627119,0.3080082135523614,1515,2954,2032,1077,273,0.5924588848776574,0.653250773993808,0.7977777777777778,0.22008355714712027,0.5181945217781769,0.4726947179946285,0.5118704092339978,464,472,0.09030036349722594,9,0.006101694915254237
"LAC","2012-13",82,7477,8289,2533,4856,0.5216227347611203,627,1752,0.3578767123287671,0.360137851809305,1342,2816,2250,1650,231,0.5558626135017766,0.6066350710900474,0.8771929824561403,0.2651331719128329,0.5043318561238428,0.5256507263922519,0.55464333781965,424,321,0.06610378912685337,14,0.007990867579908675
"CHA","2018-19",82,8104,9081,2320,4579,0.5066608429788163,977,2783,0.3510600071864894,0.35506190823015293,1510,2292,2348,2277,654,0.4939655172413793,0.5327754532775453,0.7768679631525077,0.37802227655528386,0.5143358343583436,0.5141945123607715,0.5539515537068754,338,453,0.09892989735750164,39,0.014013654329859864
"BOS","2011-12",66,6001,6062,1978,4098,0.4826744753538311,363,988,0.3674089068825911,0.3696537678207739,1017,2454,1502,990,99,0.6203235591506572,0.6512738853503185,0.9090909090909091,0.1942587495084546,0.5042429190466811,0.4959693275658671,0.5305039787798409,188,293,0.07149829184968277,11,0.011133603238866396
"CLE","2011-12",66,6067,6140,1821,4087,0.44555908979691705,440,1273,0.34564021995286726,0.34810126582278483,1178,1880,1762,1104,216,0.5161998901702362,0.5683192261185006,0.8363636363636363,0.2375,0.526650289827973,0.4628731343283582,0.5020532194480947,334,398,0.09738194274528994,11,0.00864100549882168
"MIL","2011-12",66,6208,6535,2066,4387,0.47093685890129927,436,1265,0.34466403162055337,0.34772182254196643,1095,2388,1744,1068,240,0.5779283639883833,0.6320804658549497,0.8165137614678899,0.2238145789101203,0.5206847459132907,0.48124557678697805,0.5184239910671559,354,281,0.0640528835194894,16,0.012648221343873518
"IND","2011-12",66,6051,6449,1962,4311,0.4551148225469729,392,1064,0.3684210526315789,0.3720266412940057,1349,1786,2138,1005,171,0.4551478083588175,0.5022497187851519,0.8545918367346939,0.19795348837209303,0.49709133233812275,0.4744186046511628,0.5220935920430458,368,391,0.09069821387149153,7,0.006578947368421052
"PHI","2011-12",66,5943,6180,2122,4553,0.4660663298923787,349,963,0.3624091381100727,0.36736842105263157,889,2348,1896,837,210,0.5532516493873704,0.5998978027593255,0.7994269340974212,0.17458303118201596,0.488544335333697,0.4796047860768673,0.5098477325388944,330,307,0.06742806940478806,9,0.009345794392523364
"PHX","2011-12",66,6095,6492,2051,4150,0.49421686746987953,444,1295,0.34285714285714286,0.3460639127045986,1058,2252,1850,1080,252,0.5490004875670405,0.5910761154855643,0.8108108108108109,0.23783287419651056,0.5065379996316081,0.498989898989899,0.5331295439524124,292,279,0.0672289156626506,9,0.0069498069498069494
"WAS","2011-12",66,6120,6180,2070,4400,0.47045454545454546,344,1075,0.32,0.3229755178907721,1008,1934,2206,885,147,0.4671497584541063,0.5025987525987526,0.8575581395348837,0.1963470319634703,0.5118245548008078,0.4723287671232877,0.5066787598944591,292,295,0.06704545454545455,5,0.004651162790697674
"DET","2011-12",66,5938,5997,1974,4316,0.45736793327154773,317,916,0.3460698689956332,0.3530066815144766,1098,1926,2022,807,144,0.4878419452887538,0.5416197975253093,0.8485804416403786,0.17507645259938837,0.5190616388409134,0.4681766055045872,0.5079216354344123,392,343,0.07947173308619092,5,0.0054585152838427945
"DEN","2010-11",82,7813,8811,2483,4909,0.5058056630678346,662,1704,0.3884976525821596,0.39228486646884275,1859,2468,2498,1737,249,0.49697946033024565,0.533275713050994,0.8746223564954683,0.25767427793739606,0.5289120155038759,0.5256313322244065,0.5714939223630898,338,478,0.0973721735587696,10,0.005868544600938967
"GSW","2010-11",82,7839,8477,2566,5298,0.48433371083427706,685,1749,0.39165237278444825,0.39652173913043476,1290,2508,2624,1779,276,0.4886983632112237,0.5345268542199488,0.8656934306569343,0.24819071945508728,0.510099179977182,0.509933304952462,0.542508038585209,440,338,0.06379765949414873,14,0.008004574042309892
"LAC","2010-11",82,7639,8089,2502,5075,0.4930049261083744,513,1519,0.3377221856484529,0.342456608811749,1546,2740,2264,1329,210,0.5475619504396483,0.609159626500667,0.8635477582846004,0.23036093418259024,0.5042069338616275,0.4961328480436761,0.5330589484864577,506,399,0.07862068965517241,5,0.0032916392363396972
"ORL","2010-11",82,7494,8135,2186,4308,0.5074280408542247,770,2103,0.3661436043747028,0.3702455464612422,1453,1986,2386,1929,381,0.45425434583714547,0.5035496957403651,0.8350649350649351,0.328029948525971,0.5088792543171115,0.5211355482764,0.5511386881221874,428,299,0.06940575673166202,11,0.005230622919638612
"SAC","2010-11",82,7832,8151,2706,5702,0.4745703262013329,428,1277,0.3351605324980423,0.34242181234963914,1455,2598,2814,1128,156,0.48004434589800443,0.5363336085879439,0.8785046728971962,0.1829775039403926,0.49194513548573077,0.479724888952572,0.5172941927249521,568,457,0.08014731673097159,7,0.00548159749412686
"OKC","2010-11",82,7744,8596,2579,5206,0.49538993469074144,487,1403,0.3471133285816108,0.35014409221902015,1977,2518,2640,1239,222,0.4881737107405971,0.537345283824157,0.8480492813141683,0.2122862762899077,0.5090746169018359,0.5007565441065214,0.5570421615977027,472,348,0.06684594698424895,8,0.005702066999287242
